['1', 'unavailable', 'single', '435\n']
['2', 'unavailable', 'double', '684\n']
['3', 'unavailable', 'single', '204\n']
['4', 'unavailable', 'single', '915\n']
['5', 'unavailable', 'single', '748\n']
['6', 'unavailable', 'double', '521\n']
['7', 'available', 'single', '559\n']
['8', 'available', 'single', '360\n']
['9', 'available', 'single', '674\n']
['10', 'available', 'double', '560\n']
['11', 'available', 'single', '531\n']
['12', 'available', 'single', '794\n']
['13', 'available', 'double', '926\n']
['14', 'available', 'double', '223\n']
['15', 'available', 'single', '751\n']
['16', 'available', 'double', '237\n']
['17', 'available', 'double', '376\n']
['18', 'available', 'single', '227\n']
['19', 'available', 'double', '685\n']
['20', 'available', 'double', '784\n']
['21', 'available', 'double', '181\n']
['22', 'available', 'single', '573\n']
['23', 'available', 'single', '665\n']
['24', 'available', 'single', '687\n']
['25', 'available', 'single', '826\n']
['26', 'available', 'double', '223\n']
['27', 'available', 'single', '545\n']
['28', 'available', 'double', '818\n']
['29', 'available', 'double', '315\n']
['30', 'available', 'double', '901\n']
['31', 'available', 'double', '168\n']
['32', 'available', 'single', '509\n']
['33', 'available', 'double', '141\n']
['34', 'available', 'double', '875\n']
['35', 'available', 'single', '278\n']
['36', 'available', 'double', '824\n']
['37', 'available', 'single', '604\n']
['38', 'available', 'single', '142\n']
['39', 'available', 'single', '540\n']
['40', 'available', 'double', '226\n']
['41', 'available', 'double', '524\n']
['42', 'available', 'single', '312\n']
['43', 'available', 'single', '732\n']
['44', 'available', 'single', '769\n']
['45', 'available', 'double', '172\n']
['46', 'available', 'single', '813\n']
['47', 'available', 'single', '411\n']
['48', 'available', 'single', '359\n']
['49', 'available', 'single', '303\n']
['50', 'available', 'single', '822\n']
['51', 'available', 'double', '443\n']
['52', 'available', 'single', '240\n']
['53', 'available', 'single', '997\n']
['54', 'available', 'double', '779\n']
['55', 'available', 'single', '410\n']
['56', 'available', 'double', '418\n']
['57', 'available', 'double', '292\n']
